scenario_type,scenario_num,obsID,altID,mode,automated,attendant,price,travelTime
baseline,1,1,1,bus,No,No,2,27
baseline,1,1,2,rail,No,No,2,15
baseline,1,1,3,RH,No,No,13,15
baseline,1,1,4,sharedRH,No,No,10,20
baseline,2,2,1,bus,No,No,2,40
baseline,2,2,2,rail,No,No,2,28
baseline,2,2,3,RH,No,No,15,25
baseline,2,2,4,sharedRH,No,No,12,30
baseline,3,3,1,bus,No,No,2,17
baseline,3,3,2,rail,No,No,3,45
baseline,3,3,3,RH,No,No,13,15
baseline,3,3,4,sharedRH,No,No,10,20
baseline,4,4,1,bus,No,No,2,40
baseline,4,4,2,rail,No,No,2,18
baseline,4,4,3,RH,No,No,11,10
baseline,4,4,4,sharedRH,No,No,9,15
baseline,5,5,1,bus,No,No,2,80
baseline,5,5,2,rail,No,No,4,31
baseline,5,5,3,RH,No,No,35,25
baseline,5,5,4,sharedRH,No,No,28,30
baseline,6,6,1,bus,No,No,2,44
baseline,6,6,2,rail,No,No,3,46
baseline,6,6,3,RH,No,No,17,15
baseline,6,6,4,sharedRH,No,No,14,20
auto,1,1,1,bus,No,No,2,27
auto,1,1,2,rail,No,No,2,15
auto,1,1,3,RH,Yes,No,13,15
auto,1,1,4,sharedRH,Yes,No,10,20
auto,2,2,1,bus,No,No,2,40
auto,2,2,2,rail,No,No,2,28
auto,2,2,3,RH,Yes,No,15,25
auto,2,2,4,sharedRH,Yes,No,12,30
auto,3,3,1,bus,No,No,2,17
auto,3,3,2,rail,No,No,3,45
auto,3,3,3,RH,Yes,No,13,15
auto,3,3,4,sharedRH,Yes,No,10,20
auto,4,4,1,bus,No,No,2,40
auto,4,4,2,rail,No,No,2,18
auto,4,4,3,RH,Yes,No,11,10
auto,4,4,4,sharedRH,Yes,No,9,15
auto,5,5,1,bus,No,No,2,80
auto,5,5,2,rail,No,No,4,31
auto,5,5,3,RH,Yes,No,35,25
auto,5,5,4,sharedRH,Yes,No,28,30
auto,6,6,1,bus,No,No,2,44
auto,6,6,2,rail,No,No,3,46
auto,6,6,3,RH,Yes,No,17,15
auto,6,6,4,sharedRH,Yes,No,14,20
autoAttendant,1,1,1,bus,No,No,2,27
autoAttendant,1,1,2,rail,No,No,2,15
autoAttendant,1,1,3,RH,Yes,Yes,13,15
autoAttendant,1,1,4,sharedRH,Yes,Yes,10,20
autoAttendant,2,2,1,bus,No,No,2,40
autoAttendant,2,2,2,rail,No,No,2,28
autoAttendant,2,2,3,RH,Yes,Yes,15,25
autoAttendant,2,2,4,sharedRH,Yes,Yes,12,30
autoAttendant,3,3,1,bus,No,No,2,17
autoAttendant,3,3,2,rail,No,No,3,45
autoAttendant,3,3,3,RH,Yes,Yes,13,15
autoAttendant,3,3,4,sharedRH,Yes,Yes,10,20
autoAttendant,4,4,1,bus,No,No,2,40
autoAttendant,4,4,2,rail,No,No,2,18
autoAttendant,4,4,3,RH,Yes,Yes,11,10
autoAttendant,4,4,4,sharedRH,Yes,Yes,9,15
autoAttendant,5,5,1,bus,No,No,2,80
autoAttendant,5,5,2,rail,No,No,4,31
autoAttendant,5,5,3,RH,Yes,Yes,35,25
autoAttendant,5,5,4,sharedRH,Yes,Yes,28,30
autoAttendant,6,6,1,bus,No,No,2,44
autoAttendant,6,6,2,rail,No,No,3,46
autoAttendant,6,6,3,RH,Yes,Yes,17,15
autoAttendant,6,6,4,sharedRH,Yes,Yes,14,20
